INFO  - 2016-09-08 18:46:30.702; [   ] org.eclipse.jetty.util.log.Log; Logging initialized @389ms
INFO  - 2016-09-08 18:46:30.935; [   ] org.eclipse.jetty.server.Server; jetty-9.3.8.v20160314
INFO  - 2016-09-08 18:46:30.954; [   ] org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor [file:///Applications/MAMP/htdocs/science/solr/server/contexts/] at interval 0
INFO  - 2016-09-08 18:46:31.267; [   ] org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
WARN  - 2016-09-08 18:46:31.278; [   ] org.eclipse.jetty.security.ConstraintSecurityHandler; ServletContext@o.e.j.w.WebAppContext@3f49dace{/solr,file:///Applications/MAMP/htdocs/science/solr/server/solr-webapp/webapp/,STARTING}{/Applications/MAMP/htdocs/science/solr/server/solr-webapp/webapp} has uncovered http methods for path: /
INFO  - 2016-09-08 18:46:31.287; [   ] org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init(): WebAppClassLoader=1690287238@64bfbc86
INFO  - 2016-09-08 18:46:31.302; [   ] org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-09-08 18:46:31.302; [   ] org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /Applications/MAMP/htdocs/science/solr/example/techproducts/solr
INFO  - 2016-09-08 18:46:31.303; [   ] org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Applications/MAMP/htdocs/science/solr/example/techproducts/solr'
INFO  - 2016-09-08 18:46:31.303; [   ] org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-09-08 18:46:31.303; [   ] org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /Applications/MAMP/htdocs/science/solr/example/techproducts/solr
INFO  - 2016-09-08 18:46:31.309; [   ] org.apache.solr.core.SolrXmlConfig; Loading container configuration from /Applications/MAMP/htdocs/science/solr/example/techproducts/solr/solr.xml
INFO  - 2016-09-08 18:46:31.410; [   ] org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Applications/MAMP/htdocs/science/solr/example/techproducts/solr
INFO  - 2016-09-08 18:46:31.445; [   ] org.apache.solr.core.CoreContainer; New CoreContainer 2146608740
INFO  - 2016-09-08 18:46:31.445; [   ] org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/Applications/MAMP/htdocs/science/solr/example/techproducts/solr]
WARN  - 2016-09-08 18:46:31.446; [   ] org.apache.solr.core.CoreContainer; Couldn't add files from /Applications/MAMP/htdocs/science/solr/example/techproducts/solr/lib to classpath: /Applications/MAMP/htdocs/science/solr/example/techproducts/solr/lib
INFO  - 2016-09-08 18:46:31.459; [   ] org.apache.solr.handler.component.HttpShardHandlerFactory; created with socketTimeout : 600000,connTimeout : 60000,maxConnectionsPerHost : 20,maxConnections : 10000,corePoolSize : 0,maximumPoolSize : 2147483647,maxThreadIdleTime : 5,sizeOfQueue : -1,fairnessPolicy : false,useRetries : false,connectionsEvictorSleepDelay : 5000,maxConnectionIdleTime : 40000,
